20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      (59, 143, 0.225)
      (59, 145, 0.167)
      (59, 146, 0.870)
      (59, 147, 0.552)
      (59, 148, 0.975)
      (59, 150, 0.092)
      (59, 151, 0.612)
      (59, 153, 0.574)
      (59, 157, 0.684)
      (59, 158, 0.004)
      (59, 159, 0.237)
      (59, 161, 0.390)
      (59, 162, 0.263)
      (59, 168, 0.716)
      (59, 170, 0.735)
      (59, 171, 0.470)
      (59, 172, 0.307)
      (59, 173, 0.405)
      (59, 178, 0.782)
      (59, 179, 0.771)
      (59, 181, 0.935)
      (59, 183, 0.592)
      (59, 185, 0.135)
      (59, 188, 0.719)
      (59, 193, 0.773)
      (59, 194, 0.705)
      (59, 195, 0.405)
      (59, 197, 0.300)
      (59, 199, 0.587)
      (60, 61, 0.711)
      (60, 63, 0.268)
      (60, 64, 0.257)
      (60, 65, 0.732)
      (60, 67, 0.624)
      (60, 69, 0.053)
      (60, 70, 0.398)
      (60, 72, 0.860)
      (60, 75, 0.663)
      (60, 76, 0.513)
      (60, 77, 0.297)
      (60, 79, 0.081)
      (60, 82, 0.684)
      (60, 83, 0.517)
      (60, 85, 0.278)
      (60, 86, 0.099)
      (60, 87, 0.097)
      (60, 88, 0.335)
      (60, 89, 0.418)
      (60, 91, 0.668)
      (60, 92, 0.854)
      (60, 95, 0.162)
      (60, 96, 0.432)
      (60, 98, 0.075)
      (60, 100, 0.235)
      (60, 101, 0.555)
      (60, 102, 0.769)
      (60, 104, 0.277)
      (60, 106, 0.144)
      (60, 108, 0.477)
      (60, 109, 0.899)
      (60, 113, 0.730)
      (60, 114, 0.279)
      (60, 115, 0.715)
      (60, 117, 0.794)
      (60, 118, 0.924)
      (60, 121, 0.109)
      (60, 122, 0.570)
      (60, 123, 0.865)
      (60, 127, 0.120)
      (60, 128, 0.822)
      (60, 129, 0.797)
      (60, 130, 0.146)
      (60, 132, 0.815)
      (60, 133, 0.496)
      (60, 136, 0.996)
      (60, 139, 0.372)
      (60, 142, 0.015)
      (60, 143, 0.598)
      (60, 144, 0.808)
      (60, 146, 0.693)
      (60, 150, 0.498)
      (60, 155, 0.502)
      (60, 156, 0.526)
      (60, 158, 0.161)
      (60, 160, 0.824)
      (60, 162, 0.182)
      (60, 164, 0.968)
      (60, 168, 0.788)
      (60, 170, 0.061)
      (60, 174, 0.369)
      (60, 176, 0.765)
      (60, 177, 0.961)
      (60, 178, 0.813)
      (60, 181, 0.471)
      (60, 184, 0.527)
      (60, 187, 0.193)
      (60, 188, 0.408)
      (60, 189, 0.284)
      (60, 192, 0.720)
      (60, 194, 0.731)
      (60, 195, 0.785)
      (60, 196, 0.060)
      (60, 198, 0.440)
      (60, 199, 0.342)
      (61, 62, 0.957)
      (61, 65, 0.814)
      (61, 66, 0.718)
      (61, 67, 0.656)
      (61, 68, 0.678)
      (61, 69, 0.849)
      (61, 71, 0.422)
      (61, 72, 0.831)
      (61, 77, 0.312)
      (61, 78, 0.338)
      (61, 80, 0.287)
      (61, 81, 0.927)
      (61, 86, 0.764)
      (61, 87, 0.486)
      (61, 92, 0.138)
      (61, 94, 0.308)
      (61, 96, 0.721)
      (61, 97, 0.207)
      (61, 99, 0.893)
      (61, 100, 0.595)
      (61, 101, 0.395)
      (61, 102, 0.488)
      (61, 103, 0.512)
      (61, 105, 0.171)
      (61, 106, 0.410)
      (61, 108, 0.605)
      (61, 109, 0.652)
      (61, 111, 0.024)
      (61, 112, 0.487)
      (61, 116, 0.143)
      (61, 118, 0.435)
      (61, 119, 0.730)
      (61, 120, 0.077)
      (61, 123, 0.329)
      (61, 124, 0.396)
      (61, 125, 0.743)
      (61, 126, 0.178)
      (61, 127, 0.538)
      (61, 129, 0.355)
      (61, 131, 0.747)
      (61, 133, 0.136)
      (61, 138, 0.960)
      (61, 139, 0.731)
      (61, 143, 0.716)
      (61, 144, 0.360)
      (61, 146, 0.306)
      (61, 148, 0.513)
      (61, 151, 0.517)
      (61, 153, 0.524)
      (61, 155, 0.153)
      (61, 157, 0.956)
      (61, 159, 0.328)
      (61, 160, 0.021)
      (61, 166, 0.951)
      (61, 168, 0.831)
      (61, 173, 0.888)
      (61, 174, 0.126)
      (61, 176, 0.019)
      (61, 177, 0.974)
      (61, 179, 0.613)
      (61, 181, 0.589)
      (61, 182, 0.838)
      (61, 183, 0.694)
      (61, 184, 0.897)
      (61, 187, 0.144)
      (61, 188, 0.810)
      (61, 189, 0.582)
      (61, 191, 0.520)
      (61, 192, 0.719)
      (61, 194, 0.200)
      (61, 197, 0.149)
      (61, 198, 0.920)
      (62, 63, 0.981)
      (62, 64, 0.398)
      (62, 67, 0.755)
      (62, 68, 0.240)
      (62, 70, 0.216)
      (62, 71, 0.761)
      (62, 77, 0.250)
      (62, 78, 0.495)
      (62, 80, 0.436)
      (62, 81, 0.254)
      (62, 82, 0.818)
      (62, 83, 0.881)
      (62, 84, 0.038)
      (62, 86, 0.820)
      (62, 87, 0.581)
      (62, 89, 0.247)
      (62, 91, 0.309)
      (62, 92, 0.909)
      (62, 93, 0.617)
      (62, 94, 0.042)
      (62, 95, 0.560)
      (62, 96, 0.890)
      (62, 98, 0.182)
      (62, 99, 0.543)
      (62, 104, 0.693)
      (62, 106, 0.115)
      (62, 107, 0.091)
      (62, 108, 0.049)
      (62, 110, 0.556)
      (62, 112, 0.258)
      (62, 114, 0.412)
      (62, 115, 0.817)
      (62, 116, 0.556)
      (62, 118, 0.190)
      (62, 121, 0.852)
      (62, 124, 0.897)
      (62, 125, 0.573)
      (62, 126, 0.032)
      (62, 127, 0.473)
      (62, 128, 0.714)
      (62, 129, 0.408)
      (62, 130, 0.244)
      (62, 131, 0.663)
      (62, 132, 0.193)
      (62, 134, 0.656)
      (62, 142, 0.552)
      (62, 146, 0.621)
      (62, 147, 0.454)
      (62, 148, 0.119)
      (62, 149, 0.292)
      (62, 151, 0.943)
      (62, 153, 0.620)
      (62, 154, 0.601)
      (62, 155, 0.252)
      (62, 158, 0.311)
      (62, 159, 0.094)
      (62, 160, 0.222)
      (62, 161, 0.448)
      (62, 162, 0.674)
      (62, 165, 0.713)
      (62, 166, 0.184)
      (62, 171, 0.312)
      (62, 172, 0.775)
      (62, 174, 0.582)
      (62, 179, 0.245)
      (62, 181, 0.694)
      (62, 183, 0.343)
      (62, 184, 0.988)
      (62, 185, 0.060)
      (62, 186, 0.711)
      (62, 189, 0.791)
      (62, 190, 0.774)
      (62, 192, 0.904)
      (62, 193, 0.924)
      (62, 194, 0.790)
      (62, 195, 0.696)
      (62, 198, 0.264)
      (62, 199, 0.525)
      (63, 65, 0.653)
      (63, 66, 0.819)
      (63, 67, 0.217)
      (63, 68, 0.264)
      (63, 69, 0.105)
      (63, 70, 0.754)
      (63, 71, 0.519)
      (63, 73, 0.561)
      (63, 74, 0.582)
      (63, 75, 0.575)
      (63, 76, 0.860)
      (63, 77, 0.869)
      (63, 79, 0.940)
      (63, 80, 0.623)
      (63, 83, 0.777)
      (63, 85, 0.679)
      (63, 86, 0.093)
      (63, 90, 0.959)
      (63, 91, 0.322)
      (63, 94, 0.667)
      (63, 96, 0.865)
      (63, 97, 0.175)
      (63, 99, 0.696)
      (63, 102, 0.411)
      (63, 103, 0.071)
      (63, 106, 0.403)
      (63, 108, 0.689)
      (63, 110, 0.799)
      (63, 111, 0.660)
      (63, 113, 0.837)
      (63, 114, 0.993)
      (63, 115, 0.696)
      (63, 116, 0.553)
      (63, 122, 0.818)
      (63, 124, 0.108)
      (63, 125, 0.699)
      (63, 127, 0.660)
      (63, 129, 0.539)
      (63, 130, 0.857)
      (63, 131, 0.863)
      (63, 132, 0.477)
      (63, 135, 0.727)
      (63, 138, 0.264)
      (63, 139, 0.049)
      (63, 140, 0.529)
      (63, 143, 0.258)
      (63, 148, 0.873)
      (63, 150, 0.185)
      (63, 153, 0.903)
      (63, 157, 0.478)
      (63, 159, 0.422)
      (63, 162, 0.083)
      (63, 167, 0.108)
      (63, 169, 0.195)
      (63, 171, 0.139)
      (63, 173, 0.610)
      (63, 176, 0.445)
      (63, 177, 0.696)
      (63, 179, 0.856)
      (63, 181, 0.963)
      (63, 182, 0.199)
      (63, 185, 0.856)
      (63, 187, 0.526)
      (63, 193, 0.517)
      (63, 196, 0.942)
      (63, 198, 0.393)
      (63, 199, 0.736)
      (64, 66, 0.190)
      (64, 67, 0.425)
      (64, 68, 0.593)
      (64, 69, 0.267)
      (64, 70, 0.597)
      (64, 72, 0.601)
      (64, 76, 0.374)
      (64, 78, 0.784)
      (64, 82, 0.284)
      (64, 84, 0.535)
      (64, 85, 0.374)
      (64, 86, 0.320)
      (64, 87, 0.203)
      (64, 88, 0.125)
      (64, 92, 0.883)
      (64, 94, 0.260)
      (64, 95, 0.206)
      (64, 97, 0.796)
      (64, 98, 0.821)
      (64, 99, 0.192)
      (64, 100, 0.760)
      (64, 101, 0.586)
      (64, 103, 0.611)
      (64, 104, 0.111)
      (64, 105, 0.229)
      (64, 106, 0.339)
      (64, 107, 0.808)
      (64, 108, 0.167)
      (64, 110, 0.103)
      (64, 111, 0.026)
      (64, 112, 0.508)
      (64, 113, 0.332)
      (64, 115, 0.249)
      (64, 116, 0.591)
      (64, 118, 0.147)
      (64, 119, 0.135)
      (64, 120, 0.817)
      (64, 121, 0.068)
      (64, 123, 0.041)
      (64, 126, 0.865)
      (64, 129, 0.753)
      (64, 130, 0.180)
      (64, 133, 0.144)
      (64, 135, 0.455)
      (64, 136, 0.942)
      (64, 144, 0.017)
      (64, 146, 0.814)
      (64, 149, 0.603)
      (64, 150, 0.910)
      (64, 152, 0.927)
      (64, 154, 0.072)
      (64, 156, 0.546)
      (64, 158, 0.637)
      (64, 159, 0.217)
      (64, 160, 0.709)
      (64, 162, 0.304)
      (64, 163, 0.514)
      (64, 165, 0.820)
      (64, 168, 0.838)
      (64, 172, 0.150)
      (64, 173, 0.646)
      (64, 178, 0.668)
      (64, 180, 0.961)
      (64, 182, 0.502)
      (64, 183, 0.753)
      (64, 190, 0.083)
      (64, 191, 0.377)
      (64, 195, 0.462)
      (64, 196, 0.670)
      (64, 197, 0.154)
      (64, 198, 0.824)
      (64, 199, 0.709)
      (65, 70, 0.021)
      (65, 74, 0.735)
      (65, 76, 0.565)
      (65, 81, 0.550)
      (65, 82, 0.992)
      (65, 86, 0.378)
      (65, 87, 0.735)
      (65, 88, 0.487)
      (65, 89, 0.248)
      (65, 90, 0.255)
      (65, 91, 0.680)
      (65, 93, 0.788)
      (65, 94, 0.944)
      (65, 95, 0.881)
      (65, 96, 0.148)
      (65, 99, 0.214)
      (65, 100, 0.475)
      (65, 102, 0.238)
      (65, 103, 0.706)
      (65, 104, 0.206)
      (65, 105, 0.078)
      (65, 106, 0.719)
      (65, 107, 0.431)
      (65, 108, 0.580)
      (65, 111, 0.641)
      (65, 112, 0.168)
      (65, 113, 0.995)
      (65, 114, 0.983)
      (65, 115, 0.127)
      (65, 117, 0.176)
      (65, 121, 0.506)
      (65, 122, 0.176)
      (65, 127, 0.805)
      (65, 128, 0.695)
      (65, 130, 0.103)
      (65, 133, 0.498)
      (65, 134, 0.107)
      (65, 137, 0.006)
      (65, 143, 0.120)
      (65, 144, 0.690)
      (65, 145, 0.279)
      (65, 146, 0.027)
      (65, 147, 0.797)
      (65, 148, 0.650)
      (65, 152, 0.162)
      (65, 153, 0.960)
      (65, 154, 0.929)
      (65, 155, 0.574)
      (65, 156, 0.391)
      (65, 161, 0.341)
      (65, 162, 0.558)
      (65, 163, 0.373)
      (65, 165, 0.989)
      (65, 166, 0.596)
      (65, 168, 0.790)
      (65, 172, 0.217)
      (65, 174, 0.859)
      (65, 175, 0.319)
      (65, 180, 0.085)
      (65, 183, 0.549)
      (65, 185, 0.957)
      (65, 186, 0.642)
      (65, 190, 0.926)
      (65, 193, 0.948)
      (65, 194, 0.980)
      (65, 195, 0.197)
      (65, 197, 0.594)
      (65, 198, 0.748)
      (65, 199, 0.253)
      (66, 67, 0.397)
      (66, 69, 0.876)
      (66, 72, 0.446)
      (66, 73, 0.134)
      (66, 74, 0.966)
      (66, 75, 0.958)
      (66, 76, 0.507)
      (66, 79, 0.655)
      (66, 81, 0.935)
      (66, 82, 0.386)
      (66, 85, 0.364)
      (66, 88, 0.296)
      (66, 89, 0.578)
      (66, 90, 0.959)
      (66, 92, 0.063)
      (66, 93, 0.788)
      (66, 94, 0.113)
      (66, 95, 0.655)
      (66, 96, 0.225)
      (66, 101, 0.553)
      (66, 103, 0.320)
      (66, 104, 0.188)
      (66, 105, 0.750)
      (66, 106, 0.956)
      (66, 111, 0.640)
      (66, 112, 0.600)
      (66, 113, 0.931)
      (66, 117, 0.837)
      (66, 118, 0.702)
      (66, 119, 0.394)
      (66, 124, 0.501)
      (66, 127, 0.890)
      (66, 128, 0.702)
      (66, 129, 0.032)
      (66, 130, 0.423)
      (66, 132, 0.341)
      (66, 133, 0.510)
      (66, 139, 0.296)
      (66, 140, 0.133)
      (66, 142, 0.021)
      (66, 143, 0.909)
      (66, 144, 0.929)
      (66, 147, 0.334)
      (66, 149, 0.365)
      (66, 150, 0.897)
      (66, 152, 0.155)
      (66, 153, 0.370)
      (66, 154, 0.124)
      (66, 155, 0.560)
      (66, 158, 0.196)
      (66, 160, 0.679)
      (66, 162, 0.524)
      (66, 164, 0.633)
      (66, 165, 0.641)
      (66, 166, 0.791)
      (66, 167, 0.425)
      (66, 169, 0.479)
      (66, 171, 0.583)
      (66, 172, 0.916)
      (66, 176, 0.591)
      (66, 178, 0.907)
      (66, 179, 0.778)
      (66, 181, 0.140)
      (66, 185, 0.517)
      (66, 186, 0.931)
      (66, 193, 0.663)
      (67, 69, 0.934)
      (67, 70, 0.395)
      (67, 73, 0.296)
      (67, 74, 0.000)
      (67, 75, 0.696)
      (67, 76, 0.694)
      (67, 79, 0.372)
      (67, 80, 0.041)
      (67, 82, 0.789)
      (67, 84, 0.545)
      (67, 85, 0.791)
      (67, 87, 0.609)
      (67, 88, 0.642)
      (67, 89, 0.546)
      (67, 90, 0.031)
      (67, 92, 0.191)
      (67, 94, 0.251)
      (67, 95, 0.916)
      (67, 97, 0.003)
      (67, 99, 0.164)
      (67, 100, 0.621)
      (67, 101, 0.896)
      (67, 103, 0.581)
      (67, 104, 0.593)
      (67, 105, 0.483)
      (67, 108, 0.143)
      (67, 109, 0.926)
      (67, 110, 0.586)
      (67, 115, 0.927)
      (67, 117, 0.462)
      (67, 118, 0.406)
      (67, 119, 0.075)
      (67, 120, 0.413)
      (67, 121, 0.575)
      (67, 122, 0.893)
      (67, 125, 0.028)
      (67, 126, 0.016)
      (67, 127, 0.801)
      (67, 128, 0.214)
      (67, 129, 0.516)
      (67, 130, 0.625)
      (67, 131, 0.441)
      (67, 132, 0.599)
      (67, 135, 0.769)
      (67, 136, 0.286)
      (67, 137, 0.418)
      (67, 138, 0.002)
      (67, 139, 0.329)
      (67, 142, 0.815)
      (67, 143, 0.166)
      (67, 145, 0.320)
      (67, 146, 0.695)
      (67, 147, 0.302)
      (67, 148, 0.111)
      (67, 149, 0.623)
      (67, 150, 0.376)
      (67, 151, 0.160)
      (67, 152, 0.086)
      (67, 153, 0.708)
      (67, 155, 0.130)
      (67, 159, 0.932)
      (67, 161, 0.919)
      (67, 162, 0.467)
      (67, 163, 0.233)
      (67, 165, 0.133)
      (67, 166, 0.025)
      (67, 167, 0.790)
      (67, 168, 0.071)
      (67, 169, 0.060)
      (67, 170, 0.256)
      (67, 171, 0.997)
      (67, 172, 0.958)
      (67, 173, 0.605)
      (67, 174, 0.451)
      (67, 175, 0.051)
      (67, 179, 0.094)
      (67, 181, 0.836)
      (67, 182, 0.088)
      (67, 183, 0.164)
      (67, 186, 0.772)
      (67, 189, 0.286)
      (67, 190, 0.199)
      (67, 193, 0.732)
      (67, 195, 0.478)
      (67, 197, 0.644)
      (68, 69, 0.249)
      (68, 73, 0.930)
      (68, 76, 0.326)
      (68, 77, 0.832)
      (68, 79, 0.967)
      (68, 81, 0.715)
      (68, 82, 0.335)
      (68, 86, 0.230)
      (68, 87, 0.243)
      (68, 88, 0.423)
      (68, 89, 0.443)
      (68, 90, 0.174)
      (68, 92, 0.065)
      (68, 96, 0.631)
      (68, 97, 0.761)
      (68, 98, 0.695)
      (68, 100, 0.120)
      (68, 102, 0.467)
      (68, 103, 0.516)
      (68, 104, 0.896)
      (68, 108, 0.145)
      (68, 109, 0.067)
      (68, 111, 0.326)
      (68, 112, 0.267)
      (68, 113, 0.300)
      (68, 115, 0.498)
      (68, 117, 0.953)
      (68, 119, 0.714)
      (68, 121, 0.876)
      (68, 122, 0.000)
      (68, 125, 0.402)
      (68, 126, 0.073)
      (68, 127, 0.404)
      (68, 128, 0.113)
      (68, 130, 0.350)
      (68, 132, 0.392)
      (68, 137, 0.790)
      (68, 138, 0.839)
      (68, 142, 0.144)
      (68, 143, 0.337)
      (68, 144, 0.483)
      (68, 146, 0.760)
      (68, 147, 0.282)
      (68, 149, 0.645)
      (68, 152, 0.768)
      (68, 155, 0.701)
      (68, 156, 0.139)
      (68, 158, 0.691)
      (68, 159, 0.203)
      (68, 162, 0.323)
      (68, 164, 0.886)
      (68, 165, 0.849)
      (68, 166, 0.903)
      (68, 168, 0.806)
      (68, 170, 0.022)
      (68, 172, 0.554)
      (68, 173, 0.859)
      (68, 175, 0.605)
      (68, 177, 0.638)
      (68, 180, 0.633)
      (68, 181, 0.689)
      (68, 182, 0.114)
      (68, 183, 0.585)
      (68, 184, 0.763)
      (68, 186, 0.311)
      (68, 187, 0.962)
      (68, 189, 0.991)
      (68, 192, 0.657)
      (68, 193, 0.781)
      (68, 197, 0.577)
      (68, 199, 0.166)
      (69, 72, 0.894)
      (69, 73, 0.180)
      (69, 74, 0.591)
      (69, 75, 0.780)
      (69, 76, 0.152)
      (69, 77, 0.783)
      (69, 78, 0.656)
      (69, 81, 0.358)
      (69, 83, 0.968)
      (69, 84, 0.910)
      (69, 85, 0.234)
      (69, 87, 0.549)
      (69, 89, 0.033)
      (69, 92, 0.799)
      (69, 93, 0.962)
      (69, 96, 0.318)
      (69, 99, 0.492)
      (69, 100, 0.549)
      (69, 101, 0.288)
      (69, 102, 0.227)
      (69, 103, 0.653)
      (69, 108, 0.708)
      (69, 109, 0.148)
      (69, 113, 0.209)
      (69, 114, 0.009)
      (69, 116, 0.326)
      (69, 118, 0.590)
      (69, 119, 0.792)
      (69, 122, 0.518)
      (69, 125, 0.393)
      (69, 126, 0.456)
      (69, 127, 0.574)
      (69, 130, 0.610)
      (69, 133, 0.400)
      (69, 138, 0.364)
      (69, 139, 0.847)
      (69, 143, 0.519)
      (69, 145, 0.399)
      (69, 147, 0.519)
      (69, 148, 0.655)
      (69, 150, 0.101)
      (69, 151, 0.353)
      (69, 152, 0.104)
      (69, 154, 0.265)
      (69, 155, 0.513)
      (69, 156, 0.730)
      (69, 157, 0.311)
      (69, 159, 0.961)
      (69, 161, 0.754)
      (69, 162, 0.293)
      (69, 163, 0.379)
      (69, 164, 0.314)
      (69, 166, 0.304)
      (69, 167, 0.774)
      (69, 169, 0.375)
      (69, 170, 0.615)
      (69, 171, 0.852)
      (69, 172, 0.651)
      (69, 173, 0.822)
      (69, 174, 0.916)
      (69, 175, 0.349)
      (69, 177, 0.567)
      (69, 180, 0.704)
      (69, 183, 0.258)
      (69, 185, 0.453)
      (69, 186, 0.028)
      (69, 187, 0.813)
      (69, 188, 0.960)
      (69, 190, 0.757)
      (69, 192, 0.874)
      (69, 193, 0.903)
      (69, 195, 0.554)
      (69, 196, 0.068)
      (69, 197, 0.696)
      (69, 199, 0.589)
      (70, 71, 0.818)
      (70, 75, 0.389)
      (70, 76, 0.806)
      (70, 78, 0.512)
      (70, 81, 0.581)
      (70, 83, 0.206)
      (70, 88, 0.573)
      (70, 89, 0.814)
      (70, 90, 0.489)
      (70, 91, 0.132)
      (70, 92, 0.952)
      (70, 93, 0.625)
      (70, 96, 0.629)
      (70, 98, 0.957)
      (70, 99, 0.812)
      (70, 100, 0.839)
      (70, 102, 0.015)
      (70, 104, 0.668)
      (70, 105, 0.238)
      (70, 107, 0.173)
      (70, 109, 0.218)
      (70, 110, 0.079)
      (70, 112, 0.309)
      (70, 114, 0.165)
      (70, 116, 0.086)
      (70, 119, 0.284)
      (70, 120, 0.001)
      (70, 123, 0.505)
      (70, 124, 0.335)
      (70, 125, 0.253)
      (70, 127, 0.759)
      (70, 130, 0.866)
      (70, 131, 0.004)
      (70, 132, 0.571)
      (70, 134, 0.980)
      (70, 138, 0.154)
      (70, 140, 0.215)
      (70, 144, 0.472)
      (70, 146, 0.093)
      (70, 147, 0.972)
      (70, 148, 0.394)
      (70, 149, 0.046)
      (70, 152, 0.221)
      (70, 153, 0.896)
      (70, 154, 0.160)
      (70, 156, 0.740)
      (70, 159, 0.390)
      (70, 161, 0.065)
      (70, 164, 0.344)
      (70, 165, 0.039)
      (70, 166, 0.098)
      (70, 167, 0.511)
      (70, 169, 0.220)
      (70, 170, 0.532)
      (70, 171, 0.634)
      (70, 172, 0.589)
      (70, 173, 0.871)
      (70, 175, 0.395)
      (70, 177, 0.932)
      (70, 178, 0.840)
      (70, 181, 0.741)
      (70, 182, 0.696)
      (70, 183, 0.876)
      (70, 184, 0.645)
      (70, 185, 0.883)
      (70, 186, 0.817)
      (70, 188, 0.931)
      (70, 190, 0.051)
      (70, 192, 0.081)
      (70, 194, 0.746)
      (70, 196, 0.691)
      (70, 198, 0.245)
      (71, 72, 0.032)
      (71, 73, 0.906)
      (71, 76, 0.423)
      (71, 77, 0.214)
      (71, 80, 0.027)
      (71, 81, 0.740)
      (71, 83, 0.994)
      (71, 84, 0.313)
      (71, 87, 0.135)
      (71, 88, 0.233)
      (71, 89, 0.599)
      (71, 90, 0.587)
      (71, 92, 0.694)
      (71, 94, 0.174)
      (71, 95, 0.582)
      (71, 96, 0.908)
      (71, 97, 0.063)
      (71, 98, 0.982)
      (71, 100, 0.249)
      (71, 101, 0.223)
      (71, 103, 0.942)
      (71, 104, 0.593)
      (71, 108, 0.989)
      (71, 109, 0.439)
      (71, 112, 0.263)
      (71, 114, 0.012)
      (71, 115, 0.203)
      (71, 116, 0.794)
      (71, 117, 0.606)
      (71, 118, 0.856)
      (71, 119, 0.511)
      (71, 120, 0.870)
      (71, 123, 0.319)
      (71, 124, 0.377)
      (71, 125, 0.460)
      (71, 126, 0.743)
      (71, 127, 0.054)
      (71, 128, 0.248)
      (71, 129, 0.490)
      (71, 130, 0.177)
      (71, 132, 0.211)
      (71, 133, 0.632)
      (71, 136, 0.218)
      (71, 137, 0.162)
      (71, 139, 0.878)
      (71, 143, 0.875)
      (71, 146, 0.212)
      (71, 147, 0.546)
      (71, 151, 0.197)
      (71, 152, 0.501)
      (71, 155, 0.284)
      (71, 158, 0.007)
      (71, 159, 0.747)
      (71, 162, 0.049)
      (71, 164, 0.007)
      (71, 166, 0.080)
      (71, 168, 0.449)
      (71, 170, 0.702)
      (71, 171, 0.582)
      (71, 172, 0.545)
      (71, 173, 0.694)
      (71, 175, 0.578)
      (71, 176, 0.411)
      (71, 177, 0.009)
      (71, 178, 0.891)
      (71, 180, 0.013)
      (71, 181, 0.738)
      (71, 184, 0.145)
      (71, 188, 0.400)
      (71, 190, 0.183)
      (71, 192, 0.480)
      (71, 194, 0.669)
      (71, 195, 0.858)
      (72, 74, 0.890)
      (72, 75, 0.963)
      (72, 80, 0.811)
      (72, 81, 0.227)
      (72, 84, 0.457)
      (72, 85, 0.601)
      (72, 87, 0.735)
      (72, 88, 0.524)
      (72, 89, 0.196)
      (72, 92, 0.692)
      (72, 93, 0.067)
      (72, 95, 0.064)
      (72, 99, 0.078)
      (72, 100, 0.406)
      (72, 101, 0.486)
      (72, 103, 0.234)
      (72, 104, 0.874)
      (72, 108, 0.734)
      (72, 109, 0.088)
      (72, 110, 0.257)
      (72, 112, 0.197)
      (72, 113, 0.634)
      (72, 114, 0.079)
      (72, 115, 0.160)
      (72, 117, 0.614)
      (72, 118, 0.866)
      (72, 123, 0.194)
      (72, 125, 0.151)
      (72, 126, 0.216)
      (72, 129, 0.027)
      (72, 130, 0.115)
      (72, 138, 0.936)
      (72, 145, 0.837)
      (72, 148, 0.128)
      (72, 150, 0.101)
      (72, 151, 0.051)
      (72, 152, 0.375)
      (72, 153, 0.633)
      (72, 155, 0.970)
      (72, 156, 0.193)
      (72, 159, 0.565)
      (72, 161, 0.271)
      (72, 162, 0.538)
      (72, 163, 0.617)
      (72, 166, 0.854)
      (72, 168, 0.083)
      (72, 170, 0.676)
      (72, 173, 0.142)
      (72, 177, 0.990)
      (72, 178, 0.088)
      (72, 181, 0.124)
      (72, 184, 0.985)
      (72, 187, 0.325)
      (72, 188, 0.716)
      (72, 189, 0.328)
      (72, 190, 0.619)
      (72, 193, 0.808)
      (72, 195, 0.598)
      (72, 196, 0.631)
      (72, 197, 0.156)
      (73, 76, 0.150)
      (73, 77, 0.635)
      (73, 83, 0.294)
      (73, 88, 0.256)
      (73, 89, 0.637)
      (73, 90, 0.309)
      (73, 91, 0.007)
      (73, 92, 0.427)
      (73, 96, 0.660)
      (73, 100, 0.041)
      (73, 102, 0.710)
      (73, 103, 0.682)
      (73, 104, 0.082)
      (73, 105, 0.034)
      (73, 106, 0.796)
      (73, 107, 0.900)
      (73, 108, 0.211)
      (73, 109, 0.455)
      (73, 112, 0.037)
      (73, 113, 0.923)
      (73, 114, 0.269)
      (73, 115, 0.971)
      (73, 116, 0.822)
      (73, 117, 0.372)
      (73, 118, 0.959)
      (73, 119, 0.660)
      (73, 123, 0.667)
      (73, 124, 0.400)
      (73, 125, 0.907)
      (73, 126, 0.035)
      (73, 128, 0.277)
      (73, 130, 0.112)
      (73, 131, 0.540)
      (73, 132, 0.475)
      (73, 133, 0.832)
      (73, 134, 0.192)
      (73, 139, 0.198)
      (73, 144, 0.659)
      (73, 145, 0.589)
      (73, 147, 0.335)
      (73, 150, 0.106)
      (73, 152, 0.698)
      (73, 153, 0.336)
      (73, 156, 0.475)
      (73, 157, 0.168)
      (73, 161, 0.529)
      (73, 163, 0.699)
      (73, 164, 0.396)
      (73, 165, 0.397)
      (73, 166, 0.815)
      (73, 168, 0.844)
      (73, 170, 0.293)
      (73, 172, 0.220)
      (73, 173, 0.987)
      (73, 174, 0.614)
      (73, 176, 0.991)
      (73, 178, 0.799)
      (73, 180, 0.342)
      (73, 182, 0.746)
      (73, 183, 0.074)
      (73, 184, 0.992)
      (73, 186, 0.068)
      (73, 188, 0.394)
      (73, 190, 0.902)
      (73, 191, 0.573)
      (73, 196, 0.864)
      (73, 199, 0.841)
      (74, 77, 0.552)
      (74, 79, 0.824)
      (74, 82, 0.396)
      (74, 83, 0.914)
      (74, 90, 0.071)
      (74, 91, 0.709)
      (74, 93, 0.153)
      (74, 94, 0.352)
      (74, 95, 0.997)
      (74, 97, 0.405)
      (74, 98, 0.413)
      (74, 99, 0.065)
      (74, 102, 0.036)
      (74, 104, 0.071)
      (74, 105, 0.936)
      (74, 109, 0.020)
      (74, 111, 0.930)
      (74, 116, 0.422)
      (74, 117, 0.658)
      (74, 120, 0.245)
      (74, 123, 0.017)
      (74, 124, 0.809)
      (74, 125, 0.183)
      (74, 127, 0.287)
      (74, 129, 0.714)
      (74, 133, 0.267)
      (74, 134, 0.073)
      (74, 137, 0.295)
      (74, 139, 0.181)
      (74, 140, 0.195)
      (74, 144, 0.990)
      (74, 145, 0.812)
      (74, 148, 0.695)
      (74, 149, 0.127)
      (74, 152, 0.563)
      (74, 153, 0.229)
      (74, 157, 0.884)
      (74, 158, 0.355)
      (74, 159, 0.425)
